timeframe,month_id,manager_user_id,subordinado_user_id,nlp_concepto_sospechoso,nlp_concepto_crudo,nlp_descripciones,tx_count,monto_total,interpretabilidad
todo_el_tiempo,2022-02,P0140,P0005,"['SOBORNO', 'DONATIVO_CRUZADO', 'NOMINA_PARALELA']",bono_excepcional criptodonativo ref BCS-LEGAL-504 urgent follow-up,bono_excepcional; criptodonativo; ref BCS-LEGAL-504; urgent follow-up,3,246901.11,"En la ventana 'todo_el_tiempo', durante 2022-02 el subordinado P0005 envió 3 pagos al manager P0140 etiquetados como 'SOBORNO, DONATIVO_CRUZADO, NOMINA_PARALELA', acumulando 246,901.11 en monto total. Conceptos crudos detectados: bono_excepcional criptodonativo ref BCS-LEGAL-504 urgent follow-up. Descripciones de origen: bono_excepcional; criptodonativo; ref BCS-LEGAL-504; urgent follow-up."
todo_el_tiempo,2023-09,P0193,P0030,"['SOBORNO', 'CONSULTORIA_FANTASMA', 'DONATIVO_CRUZADO']",consultoria reciclaje-oceanico ref MTY-FIN-778 prueba de concepto,consultoria; reciclaje-oceanico; ref MTY-FIN-778; prueba de concepto,3,216130.19999999998,"En la ventana 'todo_el_tiempo', durante 2023-09 el subordinado P0030 envió 3 pagos al manager P0193 etiquetados como 'SOBORNO, CONSULTORIA_FANTASMA, DONATIVO_CRUZADO', acumulando 216,130.20 en monto total. Conceptos crudos detectados: consultoria reciclaje-oceanico ref MTY-FIN-778 prueba de concepto. Descripciones de origen: consultoria; reciclaje-oceanico; ref MTY-FIN-778; prueba de concepto."
todo_el_tiempo,2020-08,P0229,P0053,"['SOBORNO', 'DONATIVO_CRUZADO', 'NOMINA_PARALELA']",bono_excepcional expansion_agronegocio expediente VER-MKT-459 mise jour,bono_excepcional | expansion_agronegocio | expediente VER-MKT-459 | mise à jour,3,209437.65000000002,"En la ventana 'todo_el_tiempo', durante 2020-08 el subordinado P0053 envió 3 pagos al manager P0229 etiquetados como 'SOBORNO, DONATIVO_CRUZADO, NOMINA_PARALELA', acumulando 209,437.65 en monto total. Conceptos crudos detectados: bono_excepcional expansion_agronegocio expediente VER-MKT-459 mise jour. Descripciones de origen: bono_excepcional | expansion_agronegocio | expediente VER-MKT-459 | mise à jour."
todo_el_tiempo,2025-11,P0104,P0096,"['SOBORNO', 'NOMINA_PARALELA']",bono_excepcional laboratorio-biotecnologia (NLE-COMP-552) [pilot de innovación]; microcredito derechos_digitales ref BCS-LEGAL-504 urgent follow-up,bono_excepcional - laboratorio-biotecnologia (NLE-COMP-552) [pilot de innovación]; microcredito; derechos_digitales; ref BCS-LEGAL-504; urgent follow-up,3,175431.1,"En la ventana 'todo_el_tiempo', durante 2025-11 el subordinado P0096 envió 3 pagos al manager P0104 etiquetados como 'SOBORNO, NOMINA_PARALELA', acumulando 175,431.10 en monto total. Conceptos crudos detectados: bono_excepcional laboratorio-biotecnologia (NLE-COMP-552) [pilot de innovación]; microcredito derechos_digitales ref BCS-LEGAL-504 urgent follow-up. Descripciones de origen: bono_excepcional - laboratorio-biotecnologia (NLE-COMP-552) [pilot de innovación]; microcredito; derechos_digitales; ref BCS-LEGAL-504; urgent follow-up."
todo_el_tiempo,2021-05,P0211,P0189,"['SOBORNO', 'DONATIVO_CRUZADO', 'REEMBOLSO_DUDOSO']",reembolso_caja_chica laboratorio-biotecnologia expediente CDMX-AI-887 ajuste inmediato,reembolso_caja_chica | laboratorio-biotecnologia | expediente CDMX-AI-887 | ajuste inmediato,3,144324.66,"En la ventana 'todo_el_tiempo', durante 2021-05 el subordinado P0189 envió 3 pagos al manager P0211 etiquetados como 'SOBORNO, DONATIVO_CRUZADO, REEMBOLSO_DUDOSO', acumulando 144,324.66 en monto total. Conceptos crudos detectados: reembolso_caja_chica laboratorio-biotecnologia expediente CDMX-AI-887 ajuste inmediato. Descripciones de origen: reembolso_caja_chica | laboratorio-biotecnologia | expediente CDMX-AI-887 | ajuste inmediato."
todo_el_tiempo,2020-02,P0221,P0110,"['SOBORNO', 'CONSULTORIA_FANTASMA', 'DONATIVO_CRUZADO']",consultoria mision_humanitaria ref VER-MKT-459 benchmark ético,consultoria; mision_humanitaria; ref VER-MKT-459; benchmark ético,3,140972.09999999998,"En la ventana 'todo_el_tiempo', durante 2020-02 el subordinado P0110 envió 3 pagos al manager P0221 etiquetados como 'SOBORNO, CONSULTORIA_FANTASMA, DONATIVO_CRUZADO', acumulando 140,972.10 en monto total. Conceptos crudos detectados: consultoria mision_humanitaria ref VER-MKT-459 benchmark ético. Descripciones de origen: consultoria; mision_humanitaria; ref VER-MKT-459; benchmark ético."
todo_el_tiempo,2020-11,P0190,P0103,"['SOBORNO', 'DONATIVO_CRUZADO', 'REEMBOLSO_DUDOSO']",reembolso_caja_chica hackathon_europeo (GDL-CX-204) [observatorio ciudadano],reembolso_caja_chica - hackathon_europeo (GDL-CX-204) [observatorio ciudadano],3,138868.8,"En la ventana 'todo_el_tiempo', durante 2020-11 el subordinado P0103 envió 3 pagos al manager P0190 etiquetados como 'SOBORNO, DONATIVO_CRUZADO, REEMBOLSO_DUDOSO', acumulando 138,868.80 en monto total. Conceptos crudos detectados: reembolso_caja_chica hackathon_europeo (GDL-CX-204) [observatorio ciudadano]. Descripciones de origen: reembolso_caja_chica - hackathon_europeo (GDL-CX-204) [observatorio ciudadano]."
todo_el_tiempo,2025-08,P0243,P0140,"['SOBORNO', 'VIATICOS_LUJOSOS', 'DONATIVO_CRUZADO']",viatico crowdfunding_maker (YUC-SUST-038) [relatório preliminar],viatico - crowdfunding_maker (YUC-SUST-038) [relatório preliminar],3,120814.65000000001,"En la ventana 'todo_el_tiempo', durante 2025-08 el subordinado P0140 envió 3 pagos al manager P0243 etiquetados como 'SOBORNO, VIATICOS_LUJOSOS, DONATIVO_CRUZADO', acumulando 120,814.65 en monto total. Conceptos crudos detectados: viatico crowdfunding_maker (YUC-SUST-038) [relatório preliminar]. Descripciones de origen: viatico - crowdfunding_maker (YUC-SUST-038) [relatório preliminar]."
todo_el_tiempo,2020-02,P0109,P0243,"['SOBORNO', 'DONATIVO_CRUZADO', 'REEMBOLSO_DUDOSO']",reembolso_caja_chica derechos_digitales expediente MTY-FIN-778 observatorio ciudadano,reembolso_caja_chica | derechos_digitales | expediente MTY-FIN-778 | observatorio ciudadano,3,118930.5,"En la ventana 'todo_el_tiempo', durante 2020-02 el subordinado P0243 envió 3 pagos al manager P0109 etiquetados como 'SOBORNO, DONATIVO_CRUZADO, REEMBOLSO_DUDOSO', acumulando 118,930.50 en monto total. Conceptos crudos detectados: reembolso_caja_chica derechos_digitales expediente MTY-FIN-778 observatorio ciudadano. Descripciones de origen: reembolso_caja_chica | derechos_digitales | expediente MTY-FIN-778 | observatorio ciudadano."
todo_el_tiempo,2024-12,P0054,P0029,"['SOBORNO', 'DONATIVO_CRUZADO', 'NOMINA_PARALELA']",bono_excepcional criptodonativo expediente CDMX-AI-887 prueba de concepto,bono_excepcional | criptodonativo | expediente CDMX-AI-887 | prueba de concepto,3,118348.29000000001,"En la ventana 'todo_el_tiempo', durante 2024-12 el subordinado P0029 envió 3 pagos al manager P0054 etiquetados como 'SOBORNO, DONATIVO_CRUZADO, NOMINA_PARALELA', acumulando 118,348.29 en monto total. Conceptos crudos detectados: bono_excepcional criptodonativo expediente CDMX-AI-887 prueba de concepto. Descripciones de origen: bono_excepcional | criptodonativo | expediente CDMX-AI-887 | prueba de concepto."
