timeframe,pair,meses_con_coincidencia,prestamos_incumplidos,monto_prestamos_incumplidos,eventos_alta_frecuencia,riesgo_max,riesgo_promedio,interpretabilidad
todo_el_tiempo,P0220→P0261,1,1,81536.53,1,1.7924308887702098,1.7924308887702098,"Durante 'todo_el_tiempo', el par P0220→P0261 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 81,536.53 y 1 eventosde alta frecuencia, con riesgo máximo 1.79. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
todo_el_tiempo,P0067→P0271,1,1,80687.31,1,2.1913851514668603,2.1913851514668603,"Durante 'todo_el_tiempo', el par P0067→P0271 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 80,687.31 y 1 eventosde alta frecuencia, con riesgo máximo 2.19. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
todo_el_tiempo,P0179→P0317,1,1,75794.0,1,1.4631708549395497,1.4631708549395497,"Durante 'todo_el_tiempo', el par P0179→P0317 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 75,794.00 y 1 eventosde alta frecuencia, con riesgo máximo 1.46. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
todo_el_tiempo,P0261→P0147,1,1,72351.69,1,2.1177430478485912,2.1177430478485912,"Durante 'todo_el_tiempo', el par P0261→P0147 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 72,351.69 y 1 eventosde alta frecuencia, con riesgo máximo 2.12. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
todo_el_tiempo,P0186→P0319,1,1,70171.36,1,1.2946445930256192,1.2946445930256192,"Durante 'todo_el_tiempo', el par P0186→P0319 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 70,171.36 y 1 eventosde alta frecuencia, con riesgo máximo 1.29. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
todo_el_tiempo,P0271→P0052,1,1,68982.09,1,2.084759817130569,2.084759817130569,"Durante 'todo_el_tiempo', el par P0271→P0052 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 68,982.09 y 1 eventosde alta frecuencia, con riesgo máximo 2.08. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
todo_el_tiempo,P0296→P0271,1,1,68731.08,1,2.057418569673395,2.057418569673395,"Durante 'todo_el_tiempo', el par P0296→P0271 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 68,731.08 y 1 eventosde alta frecuencia, con riesgo máximo 2.06. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
todo_el_tiempo,P0239→P0134,1,1,65744.96,1,2.054042780079086,2.054042780079086,"Durante 'todo_el_tiempo', el par P0239→P0134 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 65,744.96 y 1 eventosde alta frecuencia, con riesgo máximo 2.05. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
todo_el_tiempo,P0283→P0029,1,1,65711.84,1,2.0977066622262366,2.0977066622262366,"Durante 'todo_el_tiempo', el par P0283→P0029 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 65,711.84 y 1 eventosde alta frecuencia, con riesgo máximo 2.10. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
todo_el_tiempo,P0078→P0096,1,1,65160.0,1,2.0091607857790033,2.0091607857790033,"Durante 'todo_el_tiempo', el par P0078→P0096 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 65,160.00 y 1 eventosde alta frecuencia, con riesgo máximo 2.01. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
todo_el_tiempo,P0014→P0245,1,1,65111.5,1,1.5478983095436736,1.5478983095436736,"Durante 'todo_el_tiempo', el par P0014→P0245 combinó préstamos con repago ≤50% y ráfagas de ≥5 transacciones/30 días en 1 meses. Se detectaron 1 préstamos incumplidos por 65,111.50 y 1 eventosde alta frecuencia, con riesgo máximo 1.55. Se utilizó una heurística para aproximar préstamos incumplidos y ráfagas (freq≥2 y ratio≤0.50 (flexible)). Los patrones se observaron de forma flexible aun cuando no coincidieron exactamente en el mismo mes. Se redujo el requisito estricto de meses para resaltar la reiteración de la conducta."
