timeframe,emisor,receptor,dia_corte,meses_recurrentes,tx_totales,monto_total,monto_promedio,interpretabilidad
todo_el_tiempo,P0220,P0261,23,1,1,81536.53,81536.53,"En 'todo_el_tiempo', el emisor P0220 pagó de forma mensual recurrente al receptor P0261 durante 1 meses consecutivos, siempre cerca del día 23. Se identificaron 1 pagos por un total de 81,536.53 y un promedio mensual de 81,536.53, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0067,P0271,25,1,1,80687.31,80687.31,"En 'todo_el_tiempo', el emisor P0067 pagó de forma mensual recurrente al receptor P0271 durante 1 meses consecutivos, siempre cerca del día 25. Se identificaron 1 pagos por un total de 80,687.31 y un promedio mensual de 80,687.31, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0179,P0317,22,1,1,75794.0,75794.0,"En 'todo_el_tiempo', el emisor P0179 pagó de forma mensual recurrente al receptor P0317 durante 1 meses consecutivos, siempre cerca del día 22. Se identificaron 1 pagos por un total de 75,794.00 y un promedio mensual de 75,794.00, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0261,P0147,14,1,1,72351.69,72351.69,"En 'todo_el_tiempo', el emisor P0261 pagó de forma mensual recurrente al receptor P0147 durante 1 meses consecutivos, siempre cerca del día 14. Se identificaron 1 pagos por un total de 72,351.69 y un promedio mensual de 72,351.69, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0186,P0319,13,1,1,70171.36,70171.36,"En 'todo_el_tiempo', el emisor P0186 pagó de forma mensual recurrente al receptor P0319 durante 1 meses consecutivos, siempre cerca del día 13. Se identificaron 1 pagos por un total de 70,171.36 y un promedio mensual de 70,171.36, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0271,P0052,3,1,1,68982.09,68982.09,"En 'todo_el_tiempo', el emisor P0271 pagó de forma mensual recurrente al receptor P0052 durante 1 meses consecutivos, siempre cerca del día 3. Se identificaron 1 pagos por un total de 68,982.09 y un promedio mensual de 68,982.09, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0296,P0271,3,1,1,68731.08,68731.08,"En 'todo_el_tiempo', el emisor P0296 pagó de forma mensual recurrente al receptor P0271 durante 1 meses consecutivos, siempre cerca del día 3. Se identificaron 1 pagos por un total de 68,731.08 y un promedio mensual de 68,731.08, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0239,P0134,1,1,1,65744.96,65744.96,"En 'todo_el_tiempo', el emisor P0239 pagó de forma mensual recurrente al receptor P0134 durante 1 meses consecutivos, siempre cerca del día 1. Se identificaron 1 pagos por un total de 65,744.96 y un promedio mensual de 65,744.96, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0283,P0029,18,1,1,65711.84,65711.84,"En 'todo_el_tiempo', el emisor P0283 pagó de forma mensual recurrente al receptor P0029 durante 1 meses consecutivos, siempre cerca del día 18. Se identificaron 1 pagos por un total de 65,711.84 y un promedio mensual de 65,711.84, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
todo_el_tiempo,P0078,P0096,27,1,1,65160.0,65160.0,"En 'todo_el_tiempo', el emisor P0078 pagó de forma mensual recurrente al receptor P0096 durante 1 meses consecutivos, siempre cerca del día 27. Se identificaron 1 pagos por un total de 65,160.00 y un promedio mensual de 65,160.00, lo que sugiere una nómina o compensación paralela. Se relajó la exigencia de bandera recurrente para resaltar pagos de calendario repetidos. Se redujo el mínimo de meses ante la ausencia de coincidencias estrictas."
