timeframe,month_id,fecha_hora_ts,user_id,receptor-user_id,relacion,feat_quid_score,feat_quid_value_vs_load_days,responsable_user_id,interpretabilidad
todo_el_tiempo,2024-04,2024-04-21 12:30:00+00:00,P0169,P0197,otro,1.0,,P0197,"En la ventana 'todo_el_tiempo', la transacción del 2024-04-21 12:30:00+00:00 entre P0169 y P0197 no cuenta con desfase registrado, con puntaje quid-pro-quo 1.00. Se señala como responsable a P0197. Se listan los casos con los menores desfases/puntajes disponibles para seguimiento preventivo."
todo_el_tiempo,2022-02,2022-02-02 06:06:00+00:00,P0138,P0246,otro,1.0,,P0246,"En la ventana 'todo_el_tiempo', la transacción del 2022-02-02 06:06:00+00:00 entre P0138 y P0246 no cuenta con desfase registrado, con puntaje quid-pro-quo 1.00. Se señala como responsable a P0246. Se listan los casos con los menores desfases/puntajes disponibles para seguimiento preventivo."
todo_el_tiempo,2024-01,2024-01-24 14:11:00+00:00,P0120,P0253,otro,0.0,,P0253,"En la ventana 'todo_el_tiempo', la transacción del 2024-01-24 14:11:00+00:00 entre P0120 y P0253 no cuenta con desfase registrado, con puntaje quid-pro-quo 0.00. Se señala como responsable a P0253. Se listan los casos con los menores desfases/puntajes disponibles para seguimiento preventivo."
todo_el_tiempo,2021-03,2021-03-03 12:59:00+00:00,P0132,P0173,otro,0.0,,P0173,"En la ventana 'todo_el_tiempo', la transacción del 2021-03-03 12:59:00+00:00 entre P0132 y P0173 no cuenta con desfase registrado, con puntaje quid-pro-quo 0.00. Se señala como responsable a P0173. Se listan los casos con los menores desfases/puntajes disponibles para seguimiento preventivo."
todo_el_tiempo,2022-05,2022-05-29 04:05:00+00:00,P0306,P0185,otro,0.0,,P0185,"En la ventana 'todo_el_tiempo', la transacción del 2022-05-29 04:05:00+00:00 entre P0306 y P0185 no cuenta con desfase registrado, con puntaje quid-pro-quo 0.00. Se señala como responsable a P0185. Se listan los casos con los menores desfases/puntajes disponibles para seguimiento preventivo."
todo_el_tiempo,2020-09,2020-09-27 11:41:00+00:00,P0193,P0252,otro,0.0,,P0252,"En la ventana 'todo_el_tiempo', la transacción del 2020-09-27 11:41:00+00:00 entre P0193 y P0252 no cuenta con desfase registrado, con puntaje quid-pro-quo 0.00. Se señala como responsable a P0252. Se listan los casos con los menores desfases/puntajes disponibles para seguimiento preventivo."
todo_el_tiempo,2023-08,2023-08-11 00:51:00+00:00,P0117,P0162,otro,0.0,,P0162,"En la ventana 'todo_el_tiempo', la transacción del 2023-08-11 00:51:00+00:00 entre P0117 y P0162 no cuenta con desfase registrado, con puntaje quid-pro-quo 0.00. Se señala como responsable a P0162. Se listan los casos con los menores desfases/puntajes disponibles para seguimiento preventivo."
todo_el_tiempo,2020-07,2020-07-06 13:27:00+00:00,P0300,P0277,otro,0.0,,P0277,"En la ventana 'todo_el_tiempo', la transacción del 2020-07-06 13:27:00+00:00 entre P0300 y P0277 no cuenta con desfase registrado, con puntaje quid-pro-quo 0.00. Se señala como responsable a P0277. Se listan los casos con los menores desfases/puntajes disponibles para seguimiento preventivo."
todo_el_tiempo,2024-12,2024-12-25 10:59:00+00:00,P0052,P0110,otro,0.0,,P0110,"En la ventana 'todo_el_tiempo', la transacción del 2024-12-25 10:59:00+00:00 entre P0052 y P0110 no cuenta con desfase registrado, con puntaje quid-pro-quo 0.00. Se señala como responsable a P0110. Se listan los casos con los menores desfases/puntajes disponibles para seguimiento preventivo."
todo_el_tiempo,2024-12,2024-12-16 17:17:00+00:00,P0155,P0243,otro,0.0,,P0243,"En la ventana 'todo_el_tiempo', la transacción del 2024-12-16 17:17:00+00:00 entre P0155 y P0243 no cuenta con desfase registrado, con puntaje quid-pro-quo 0.00. Se señala como responsable a P0243. Se listan los casos con los menores desfases/puntajes disponibles para seguimiento preventivo."
