timeframe,persona,caso14_persona_tx_de_emisores_nuevos,caso14_persona_monto_de_emisores_nuevos,caso14_persona_emisores_nuevos_unicos,caso14_persona_monto_promedio_de_emisores_nuevos,interpretabilidad
todo_el_tiempo,P0147,3.0,42906.43,3.0,14302.143333333333,"Dentro de 'todo_el_tiempo', la persona P0147 (antigüedad ≥5 años) recibió 3 pagos desde recién ingresados (≤6 meses), provenientes de 3 emisores distintos. Estos movimientos suman 42,906.43 con un promedio individual de 14,302.14. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0205,3.0,32298.19,3.0,10766.063333333334,"Dentro de 'todo_el_tiempo', la persona P0205 (antigüedad ≥5 años) recibió 3 pagos desde recién ingresados (≤6 meses), provenientes de 3 emisores distintos. Estos movimientos suman 32,298.19 con un promedio individual de 10,766.06. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0058,2.0,58043.21000000001,2.0,29021.605000000003,"Dentro de 'todo_el_tiempo', la persona P0058 (antigüedad ≥5 años) recibió 2 pagos desde recién ingresados (≤6 meses), provenientes de 2 emisores distintos. Estos movimientos suman 58,043.21 con un promedio individual de 29,021.61. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0271,2.0,46667.33,2.0,23333.665,"Dentro de 'todo_el_tiempo', la persona P0271 (antigüedad ≥5 años) recibió 2 pagos desde recién ingresados (≤6 meses), provenientes de 2 emisores distintos. Estos movimientos suman 46,667.33 con un promedio individual de 23,333.67. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0068,2.0,23287.19,2.0,11643.595,"Dentro de 'todo_el_tiempo', la persona P0068 (antigüedad ≥5 años) recibió 2 pagos desde recién ingresados (≤6 meses), provenientes de 2 emisores distintos. Estos movimientos suman 23,287.19 con un promedio individual de 11,643.59. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0232,2.0,18924.03,2.0,9462.015,"Dentro de 'todo_el_tiempo', la persona P0232 (antigüedad ≥5 años) recibió 2 pagos desde recién ingresados (≤6 meses), provenientes de 2 emisores distintos. Estos movimientos suman 18,924.03 con un promedio individual de 9,462.01. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0096,2.0,16185.24,2.0,8092.62,"Dentro de 'todo_el_tiempo', la persona P0096 (antigüedad ≥5 años) recibió 2 pagos desde recién ingresados (≤6 meses), provenientes de 2 emisores distintos. Estos movimientos suman 16,185.24 con un promedio individual de 8,092.62. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0076,2.0,12259.01,2.0,6129.505,"Dentro de 'todo_el_tiempo', la persona P0076 (antigüedad ≥5 años) recibió 2 pagos desde recién ingresados (≤6 meses), provenientes de 2 emisores distintos. Estos movimientos suman 12,259.01 con un promedio individual de 6,129.51. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0075,2.0,8948.71,2.0,4474.355,"Dentro de 'todo_el_tiempo', la persona P0075 (antigüedad ≥5 años) recibió 2 pagos desde recién ingresados (≤6 meses), provenientes de 2 emisores distintos. Estos movimientos suman 8,948.71 con un promedio individual de 4,474.35. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
todo_el_tiempo,P0306,1.0,58349.57,1.0,58349.57,"Dentro de 'todo_el_tiempo', la persona P0306 (antigüedad ≥5 años) recibió 1 pagos desde recién ingresados (≤6 meses), provenientes de 1 emisores distintos. Estos movimientos suman 58,349.57 con un promedio individual de 58,349.57. Se relajó el criterio original para mostrar relaciones con indicios incipientes."
