timeframe,month_id,receptor-user_id,inflow,emisores_unicos,n_tx,risk_avg,centralidad,interpretabilidad
todo_el_tiempo,2020-02,P0165,24763.94,1,1,0.0,24763.94,"En 2020-02 (todo_el_tiempo), el receptor P0165 recibió 24,763.94 de 1 emisores únicos a través de 1 pagos, logrando centralidad 24763.94 y riesgo promedio 0.00."
todo_el_tiempo,2020-03,P0168,75728.95,1,1,0.7382694063880797,75728.95,"En 2020-03 (todo_el_tiempo), el receptor P0168 recibió 75,728.95 de 1 emisores únicos a través de 1 pagos, logrando centralidad 75728.95 y riesgo promedio 0.74."
todo_el_tiempo,2020-03,P0096,28671.12,1,1,0.0,28671.12,"En 2020-03 (todo_el_tiempo), el receptor P0096 recibió 28,671.12 de 1 emisores únicos a través de 1 pagos, logrando centralidad 28671.12 y riesgo promedio 0.00."
todo_el_tiempo,2020-03,P0015,21158.63,1,1,0.050111632495910614,21158.63,"En 2020-03 (todo_el_tiempo), el receptor P0015 recibió 21,158.63 de 1 emisores únicos a través de 1 pagos, logrando centralidad 21158.63 y riesgo promedio 0.05."
todo_el_tiempo,2020-03,P0151,1431.74,1,1,0.0,1431.74,"En 2020-03 (todo_el_tiempo), el receptor P0151 recibió 1,431.74 de 1 emisores únicos a través de 1 pagos, logrando centralidad 1431.74 y riesgo promedio 0.00."
todo_el_tiempo,2020-04,P0012,53213.62,1,1,0.6952399957614415,53213.62,"En 2020-04 (todo_el_tiempo), el receptor P0012 recibió 53,213.62 de 1 emisores únicos a través de 1 pagos, logrando centralidad 53213.62 y riesgo promedio 0.70."
todo_el_tiempo,2020-04,P0137,10741.86,1,1,0.0,10741.86,"En 2020-04 (todo_el_tiempo), el receptor P0137 recibió 10,741.86 de 1 emisores únicos a través de 1 pagos, logrando centralidad 10741.86 y riesgo promedio 0.00."
todo_el_tiempo,2020-04,P0050,7616.62,1,1,0.0,7616.62,"En 2020-04 (todo_el_tiempo), el receptor P0050 recibió 7,616.62 de 1 emisores únicos a través de 1 pagos, logrando centralidad 7616.62 y riesgo promedio 0.00."
todo_el_tiempo,2020-05,P0120,6942.23,1,1,0.9010913347279289,6942.23,"En 2020-05 (todo_el_tiempo), el receptor P0120 recibió 6,942.23 de 1 emisores únicos a través de 1 pagos, logrando centralidad 6942.23 y riesgo promedio 0.90."
todo_el_tiempo,2020-06,P0097,27333.0,1,1,0.9284905580104199,27333.0,"En 2020-06 (todo_el_tiempo), el receptor P0097 recibió 27,333.00 de 1 emisores únicos a través de 1 pagos, logrando centralidad 27333.00 y riesgo promedio 0.93."
todo_el_tiempo,2020-06,P0092,8063.57,1,1,0.9010913347279289,8063.57,"En 2020-06 (todo_el_tiempo), el receptor P0092 recibió 8,063.57 de 1 emisores únicos a través de 1 pagos, logrando centralidad 8063.57 y riesgo promedio 0.90."
todo_el_tiempo,2020-07,P0277,35160.24,1,1,1.2946445930256192,35160.24,"En 2020-07 (todo_el_tiempo), el receptor P0277 recibió 35,160.24 de 1 emisores únicos a través de 1 pagos, logrando centralidad 35160.24 y riesgo promedio 1.29."
todo_el_tiempo,2020-07,P0076,33171.01,1,1,0.9010913347279289,33171.01,"En 2020-07 (todo_el_tiempo), el receptor P0076 recibió 33,171.01 de 1 emisores únicos a través de 1 pagos, logrando centralidad 33171.01 y riesgo promedio 0.90."
todo_el_tiempo,2020-07,P0088,12047.31,1,1,1.1322733619133976,12047.31,"En 2020-07 (todo_el_tiempo), el receptor P0088 recibió 12,047.31 de 1 emisores únicos a través de 1 pagos, logrando centralidad 12047.31 y riesgo promedio 1.13."
todo_el_tiempo,2020-07,P0034,8916.44,1,1,0.9169837952372686,8916.44,"En 2020-07 (todo_el_tiempo), el receptor P0034 recibió 8,916.44 de 1 emisores únicos a través de 1 pagos, logrando centralidad 8916.44 y riesgo promedio 0.92."
todo_el_tiempo,2020-07,P0070,6332.38,1,1,0.9010913347279289,6332.38,"En 2020-07 (todo_el_tiempo), el receptor P0070 recibió 6,332.38 de 1 emisores únicos a través de 1 pagos, logrando centralidad 6332.38 y riesgo promedio 0.90."
todo_el_tiempo,2020-09,P0013,36779.09,1,1,0.9010913347279289,36779.09,"En 2020-09 (todo_el_tiempo), el receptor P0013 recibió 36,779.09 de 1 emisores únicos a través de 1 pagos, logrando centralidad 36779.09 y riesgo promedio 0.90."
todo_el_tiempo,2020-09,P0252,19693.8,1,1,1.4425708113522122,19693.8,"En 2020-09 (todo_el_tiempo), el receptor P0252 recibió 19,693.80 de 1 emisores únicos a través de 1 pagos, logrando centralidad 19693.80 y riesgo promedio 1.44."
